country_iso3,country_name,year_ref,cloud_regions_total,cloud_regions_domestic,colocation_per_million,colocation_datacenters,population,grid_reliability,internet_penetration,bandwidth_per_user,exposure_raw,oadr_raw,balance_raw,is_federal_system,balance_raw_unknown_zero,balance_high_10,balance_high_15,balance_high_20,log_gdp_per_capita,wb_regulatory_quality,cloud_regions_total_winsor,cloud_regions_total_norm,colocation_per_million_winsor,colocation_per_million_norm,grid_reliability_winsor,grid_reliability_norm,internet_penetration_winsor,internet_penetration_norm,bandwidth_per_user_winsor,bandwidth_per_user_norm,exposure_raw_winsor,exposure_raw_norm,oadr_raw_winsor,oadr_raw_norm,oadr_norm,build_supply,build_access,hazard,break_displacement,break_shortage,sovereignty_s,balance_supply,balance_access,risk_supply,risk_access,risk,partial_observation,risk_viz,observed_core_count,observed_core_total,observed_core_pct,clustering_eligible,risk_rank,cluster_label,cluster_k,is_medoid,membership_stability,membership_change_rate,typology_unstable
GBR,United Kingdom,2023,5.0,0.0,7.635928283595164,523.0,68492000.0,90.12754267328351,96.2988,154.1,0.3241,30.3666928153824,0.498,False,0.498,,,,11.000621194650387,1.53656673431396,5.0,0.625,7.635928283595164,0.4998376105407628,90.12754267328351,0.6972667718968012,96.2988,0.974322840870305,154.1,0.43751573061306187,0.3241,0.9949617728922244,30.3666928153824,0.7832152318800002,0.7832152318800002,0.6073681274791879,0.7059192857416834,0.8845345384884993,0.2156925572247048,0.7792692156675196,0.5,0.249,0.498,0.09838459322916765,0.07643529103980211,0.16729982925166564,False,0.5510172131206097,7,7,1.0,True,20.0,0,5,False,0.9756838905775076,0.024316109422492405,False
GHA,Ghana,2023,0.0,0.0,0.1775782902726697,6.0,33787914.0,88.4577200328053,69.9445,51.24,0.2165,6.03399332576016,0.1794,False,0.1794,,,,8.930152289907557,-0.18065220117569,0.0,0.0,0.1775782902726697,0.009127241387026837,88.4577200328053,0.6157733612183899,69.9445,0.6517428077154674,51.24,0.1256023119073539,0.2165,0.2367614417080647,6.03399332576016,0.10974863033335984,0.10974863033335984,0.20830020086847223,0.3886725598114107,0.5160121883991028,0.21077719776485299,0.025984243943211718,1.0,0.1794,0.1794,0.036028387718568054,0.067226270652019,0.10083260422666274,False,0.4654435267593373,7,7,1.0,True,31.0,1,5,False,0.6515151515151515,0.3484848484848485,True
IDN,Indonesia,2023,5.0,0.0,0.3129555781925967,88.0,281190067.0,93.54657869238224,69.2084,32.38,0.2252,10.362938068806,0.1745,False,0.1745,,,,9.64314226375182,0.301378756761551,5.0,0.625,0.3129555781925967,0.01803417643160038,93.54657869238224,0.8641281496709684,69.2084,0.6427328487180637,32.38,0.06841110952752062,0.2252,0.298065743578903,10.362938068806,0.2295626980501653,0.2295626980501653,0.5023874420341895,0.35557197912279215,0.6793245241064478,0.22964096728660127,0.0684247762923017,0.5,0.08725,0.1745,0.10530281573853784,0.06740528885787246,0.1656101378840068,False,0.5491558818755345,7,7,1.0,True,21.0,1,5,False,0.8195718654434251,0.18042813455657492,False
IND,India,2023,7.0,0.0,0.106392625520747,153.0,1438069596.0,85.8385574612123,55.9,60.34,0.2069,10.1760245971185,0.1863,True,0.1863,0.2863,0.2663,0.2463,9.242178116565798,-0.136969581246376,7.0,0.875,0.106392625520747,0.004443692899741512,85.8385574612123,0.48794871331493106,55.9,0.47983631520217285,60.34,0.15319721867599034,0.2069,0.1691153155057605,10.1760245971185,0.22438941340846938,0.22438941340846938,0.45579746873822424,0.3165167669390816,0.628046694493266,0.13116762906103469,0.03794768644472583,0.5,0.09315,0.1863,0.0542168192079215,0.033782182630091986,0.08616743934990889,False,0.44168677492073827,7,7,1.0,True,32.0,1,5,False,0.6279863481228669,0.3720136518771331,True
IRL,Ireland,2023,2.0,0.0,10.354816250961589,55.0,5311538.0,92.18573401984176,96.4974,180.01,0.317,23.7491070753008,0.6752,False,0.6752,,,,11.77284526069942,1.74936389923096,2.0,0.25,10.354816250961589,0.6787225541742118,92.18573401984176,0.7977139862259758,96.4974,0.9767537305006329,180.01,0.5160854047202453,0.317,0.944931825388437,23.7491070753008,0.6000574617888916,0.6000574617888916,0.5754788468000626,0.746419567610439,0.8923497424130448,0.37791843268230735,0.5670133927061297,0.5,0.3376,0.6752,0.14406144387734968,0.09162143961966841,0.22248376661528724,False,0.6059443999638374,7,7,1.0,True,16.0,0,5,False,0.9054878048780488,0.09451219512195119,False
ISR,Israel,2023,3.0,0.0,6.701187937861712,66.0,9849000.0,96.13019466530884,87.0384,270.69,0.3222,20.7033101139389,0.1837,False,0.1837,,,,10.918196934845035,1.12179791927338,3.0,0.375,6.701187937861712,0.4383378444358712,96.13019466530884,0.9902179944323929,87.0384,0.8609743497691542,270.69,0.7910641020587015,0.3222,0.9815734770813517,20.7033101139389,0.5157576277550918,0.5157576277550918,0.6011852796227547,0.8260192259139278,0.9306139062318465,0.47531946907455674,0.5062540080067949,0.5,0.09185,0.1837,0.2595084649367487,0.32049817114990825,0.49683464767650887,False,0.7920220845437002,7,7,1.0,True,4.0,4,5,True,0.6616766467065869,0.3383233532934131,True
ITA,Italy,2023,4.0,0.0,2.8482195982735448,168.0,58984216.0,93.10733011982651,87.0278,103.96,0.3022,38.0578365792292,0.4714,False,0.4714,,,,11.002597579185434,0.644031763076782,4.0,0.5,2.8482195982735448,0.1848378721967414,93.10733011982651,0.8426912237092158,87.0278,0.8608446044011709,103.96,0.28547082672521235,0.3022,0.8406440474932182,38.0578365792292,0.9960863296738831,0.9960863296738831,0.5091763653019857,0.5731577155631916,0.7904957185099221,0.003290003663501007,0.8373540438297172,0.5,0.2357,0.4714,0.0012803493275418717,0.0009967762541248338,0.002275849359860027,False,0.13153697119768473,7,7,1.0,True,44.0,0,5,False,0.8859934853420195,0.1140065146579805,False
JPN,Japan,2023,8.0,0.0,1.7828940948861056,222.0,124516650.0,95.06596532382252,86.9815,219.78,0.3191,50.2846808708749,0.2689,False,0.2689,,,,10.8329267896338,1.46932590007782,8.0,1.0,1.7828940948861056,0.11474646169654017,95.06596532382252,0.9382797366321984,86.9815,0.8602778864259233,219.78,0.6366842445211981,0.3191,0.959729415495191,38.19923952887534,1.0,1.0,0.6843420661095795,0.7484810654735607,0.9206060527930642,0.0,0.959729415495191,0.5,0.13445,0.2689,0.0,0.0,0.0,False,0.0,7,7,1.0,True,45.0,2,5,False,0.7863777089783281,0.21362229102167185,False
KEN,Kenya,2023,0.0,0.0,0.3614087517984377,20.0,55339003.0,75.84035267259699,35.0,14.93,0.2063,4.88485934966732,0.2351,False,0.2351,,,,8.75100587208126,-0.390806585550308,0.0,0.0,0.3614087517984377,0.021222076533912487,75.84035267259699,0.0,35.0,0.22401761795215663,14.93,0.015495601493157374,0.2063,0.16488743261811656,4.88485934966732,0.07794355445466052,0.07794355445466052,0.0070740255113041625,0.119756609722657,0.12598347392163578,0.15203552003495724,0.012851912583159335,1.0,0.2351,0.2351,0.0008226523574093021,0.013926731978314113,0.014737927476830448,False,0.2451764796873533,7,7,1.0,True,42.0,3,5,False,0.9745222929936306,0.02547770700636942,False
KOR,South Korea,2023,6.0,0.0,0.8315185119515993,43.0,51712619.0,96.7556105029598,97.416,234.07,0.3069,25.9356983752934,0.3753,False,0.3753,,,,10.95831866546382,1.122523188591,6.0,0.75,0.8315185119515993,0.052152206409028075,96.3306306788478,1.0,97.416,0.9879975130505786,234.07,0.6800173453699689,0.3069,0.8737624634464295,25.9356983752934,0.6605766907550621,0.6605766907550621,0.6007174021363427,0.8340074292102737,0.9337220551090111,0.2965753468369962,0.5771871166094333,0.5,0.18765,0.3753,0.14472662846452075,0.154517072801393,0.27688096627916126,False,0.6517750035059164,7,7,1.0,True,10.0,2,5,False,0.8150470219435737,0.1849529780564263,False
